"ID","ISDELETED","ACCOUNTID","ISPRIVATE","NAME","DESCRIPTION","STAGENAME","AMOUNT","PROBABILITY","EXPECTEDREVENUE","TOTALOPPORTUNITYQUANTITY","CLOSEDATE","TYPE","NEXTSTEP","LEADSOURCE","ISCLOSED","ISWON","FORECASTCATEGORY","FORECASTCATEGORYNAME","CAMPAIGNID","HASOPPORTUNITYLINEITEM","PRICEBOOK2ID","OWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","FISCALQUARTER","FISCALYEAR","FISCAL"
"006gK000000GqsXQAS","0","001gK0000029oalQAA","0","Edge SLA",,"Closed Won","60000.0","100.0","60000.0",,"12/04/2024 00:00:00.000000","Existing Customer - Upgrade",,"Word of mouth","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
"006gK000000GqsYQAS","0","001gK0000029oaqQAA","0","United Oil Installations",,"Closed Won","270000.0","100.0","270000.0",,"01/13/2025 00:00:00.000000","Existing Customer - Upgrade",,"Partner","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
"006gK000000GqsZQAS","0","001gK0000029oapQAA","0","Grand Hotels Generator Installations",,"Closed Won","350000.0","100.0","350000.0",,"03/02/2025 00:00:00.000000","Existing Customer - Upgrade",,"External Referral","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"2","2015","2015 2"
"006gK000000GqsaQAC","0","001gK0000029oaqQAA","0","United Oil Refinery Generators",,"Closed Won","915000.0","100.0","915000.0",,"02/25/2025 00:00:00.000000","New Customer",,"Partner","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"2","2015","2015 2"
"006gK000000GqsbQAC","0","001gK0000029oasQAA","0","University of AZ Installations",,"Proposal/Price Quote","100000.0","75.0","75000.0",,"12/15/2024 00:00:00.000000","Existing Customer - Upgrade",,"Employee Referral","0","0","Pipeline","Pipeline",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
"006gK000000GqscQAC","0","001gK0000029oarQAA","0","Express Logistics SLA",,"Perception Analysis","120000.0","70.0","84000.0",,"12/13/2024 00:00:00.000000","Existing Customer - Upgrade",,"External Referral","0","0","Pipeline","Pipeline",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
"006gK000000GqsdQAC","0","001gK0000029oasQAA","0","University of AZ SLA",,"Closed Won","90000.0","100.0","90000.0",,"12/22/2024 00:00:00.000000","Existing Customer - Upgrade",,"Public Relations","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
"006gK000000GqseQAC","0","001gK0000029oamQAA","0","Burlington Textiles Weaving Plant Generator",,"Closed Won","235000.0","100.0","235000.0",,"01/23/2025 00:00:00.000000","New Customer",,"Web","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
"006gK000000GqsfQAC","0","001gK0000029oaqQAA","0","United Oil Installations",,"Closed Won","235000.0","100.0","235000.0",,"01/25/2025 00:00:00.000000","Existing Customer - Upgrade",,"External Referral","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
"006gK000000GqsgQAC","0","001gK0000029oaqQAA","0","United Oil Emergency Generators",,"Closed Won","440000.0","100.0","440000.0",,"01/07/2025 00:00:00.000000","Existing Customer - Upgrade",,"External Referral","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
"006gK000000GqshQAC","0","001gK0000029oapQAA","0","Grand Hotels SLA",,"Closed Won","90000.0","100.0","90000.0",,"12/11/2024 00:00:00.000000","Existing Customer - Upgrade",,"External Referral","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"1","2015","2015 1"
"006gK000000GqsiQAC","0","001gK0000029oaqQAA","0","United Oil Standby Generators",,"Closed Won","120000.0","100.0","120000.0",,"03/12/2025 00:00:00.000000","Existing Customer - Upgrade",,"External Referral","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"2","2015","2015 2"
"006gK000000GqsjQAC","0","001gK0000029oapQAA","0","Grand Hotels Emergency Generators",,"Closed Won","210000.0","100.0","210000.0",,"02/28/2025 00:00:00.000000","New Customer",,"External Referral","1","1","Closed","Closed",,"0",,"005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000","005gK0000012NsnQAE","03/25/2025 00:14:10.000000",,"2","2015","2015 2"
"006gK000000R8mHQAS","0","001gK000002Y5tyQAC","0","Sanoop's New Opportunity for Fred Seagel","Sample data for Fred Account","Proposal/Price Quote","34567.0","75.0","25925.25",,"04/15/2025 00:00:00.000000","Existing Customer - Upgrade","Installation of product","Purchased List","0","0","Pipeline","Pipeline",,"0",,"005gK000001Cn7eQAC","04/03/2025 08:55:34.000000","005gK000001Cn7eQAC","04/03/2025 08:55:34.000000","005gK000001Cn7eQAC","04/03/2025 08:55:34.000000",,"2","2025","2025 2"
